iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
390,0.298290434379,0.32401601691,0.329348620406,78.5191489362,76.1102603369,75.9978617249,113.495960622
400,0.296276069874,0.323322741908,0.327117345128,78.7234042553,76.2633996937,76.051318603,116.957478472
410,0.294227793607,0.321164274197,0.324986150735,79.0042553191,76.6462480858,76.0869565217,120.610307695
420,0.29284447167,0.319649572482,0.323574168742,79.0978723404,76.6462480858,76.4611546686,124.105253411
430,0.291326800058,0.318050096653,0.322049714064,79.1659574468,76.7993874426,76.5680684248,127.935481277
440,0.289763411551,0.31614686496,0.320587090489,79.2680851064,77.0290964778,76.7284390592,131.666086035
450,0.288370921812,0.314972503932,0.319177223088,79.3617021277,77.7182235835,76.7818959373,135.308828302
460,0.287552207072,0.314564229956,0.317844258202,79.3106382979,77.6416539051,76.7640769779,138.990762408
470,0.28607284909,0.312788097943,0.316763546406,79.514893617,77.4119448698,77.0669992872,142.58224729
480,0.284660372644,0.311290045048,0.316136086011,79.7446808511,77.4885145482,77.1739130435,147.03420782
490,0.283645215637,0.309968542027,0.314790022865,79.829787234,78.0245022971,77.3342836778,151.232563164
500,0.282111224711,0.308754679325,0.313561037487,79.9744680851,78.0245022971,77.3521026372,155.596996849
510,0.280846935417,0.308051710573,0.313029553502,80.1276595745,77.8713629403,77.5659301497,159.83202727
520,0.279832055699,0.307633393853,0.311664332813,80.170212766,78.2542113323,77.7441197434,163.992371219
530,0.278797748289,0.306629407332,0.310603398436,80.1787234043,78.4839203675,77.6906628653,168.389172929
540,0.277691180167,0.305769455293,0.309112776904,80.2723404255,78.2542113323,77.7619387028,172.675626851
550,0.276335842121,0.304219885442,0.308131536387,80.4255319149,78.6370597243,77.9579472559,176.937958211
560,0.275333549381,0.303396644025,0.306772360754,80.485106383,78.4839203675,77.9757662153,181.37947737
570,0.274641660748,0.3029397605,0.305971279377,80.570212766,78.7136294028,78.0826799715,185.808295535
580,0.27378223159,0.302050884198,0.305124060777,80.5617021277,78.7901990812,78.2074126871,190.574552507
590,0.272737236282,0.300513038661,0.30349085626,80.5787234043,79.0199081164,78.4034212402,195.277811949
600,0.271894736699,0.301390548156,0.303087966412,80.6978723404,78.7901990812,78.4034212402,200.057396831
610,0.270790011641,0.2995683358,0.302092762617,80.8,79.0964777948,78.3677833215,204.719900566
620,0.269797165009,0.299125234134,0.301496431023,80.9106382979,78.943338438,78.5281539558,209.457236976
